folder	file_name	title	artist	level	spotify	youtube	duration	sticky	is_new	has_info	part_tags	part_format	chord_count	chord_list	has_riff	edit_link
active	(I Can't Get No) Satisfaction.txt	(I Can't Get No) Satisfaction	The Rolling Stones	Easy	3bjXZ00UeG17SC24jS8Sde	nrIPxlFzDi0	5.5	True	False	True	False	none	4	A, B7, D, E7	True	otwórz plik
active	19 2000.txt	19-2000	Gorillaz	Easy	71koAFCnGnugRdGIDfS7f4			True	False	False	True	none	3	C, F, G	False	otwórz plik
active	500 Miles (I'm Gonna Be).txt	500 Miles (I'm Gonna Be)	The Proclaimers	Easy	67iAlVNDDdddxqSD2EZhFs			True	False	False	False	none	3	A, D, G	False	otwórz plik
active	A Little Respect.txt	A Little Respect	Erasure	Medium	1QRvbZIBvpQmoCyGNyaIwq	V2IY_D0udrk		True	False	False	False	none	7	Am, Bb, C, E7, Em, F, G	False	otwórz plik
active	Accidentally In Love.txt	Accidentally In Love	Counting Crows	Medium	2Y6uY65ZwKl9WbVOvKyZg6	GEo7W-uJNkc		True	False	False	True	<i>	6	A, Am, C, D, Em, G	False	otwórz plik
active	After Hours.txt	After Hours	The Velvet Underground	Medium	6cA1usDL8nTHeSgFewQat3	fND_Y6OgsDs	3.0	True	False	True	False	none	9	A7, Am, B, C, C7, Dm, Em, F, G	False	otwórz plik
active	Ain't No Sunshine.txt	Ain't No Sunshine	Bill Withers	Easy	1k1Bqnv2R0uJXQN4u6LKYt		3.0	True	False	False	False	none	3	Am, Dm, Em7	False	otwórz plik
active	All About That Bass.txt	All About That Bass	Meghan Trainor	Easy	5jE48hhRu8E6zBDPRSkEq7	7PCkvCPvDXk		True	False	False	False	none	4	A, Bm, D, E7	False	otwórz plik
active	All Apologies.txt	All Apologies	Nirvana	Easy	3bH8PZsfbCRIoeNiFm7JmU	DkWmW_jJk9k		True	False	False	False	none	2	C, F	True	otwórz plik
active	All I Want For Christmas Is You.txt	🎅All I Want For Christmas Is You	Mariah Carey and Walter Afanasieff	Hard				True	False	True	True	<small><i>	8	Am, B7, C, Cm, D, E7, Em, G	False	otwórz plik
active	All Star (Shrek).txt	All Star (Shrek)	Smash Mouth	Hard	3cfOd4CMv2snFaKAnMdnvK			True	False	True	False	none	6	Am, C, C#dim, D, F, G	False	otwórz plik
